cycle,environment_temperature,nominal_capacity
12,50,2.2286967127039454
13,1,0.9458920768455965
13,2,0.9725757812538591
13,3,0.9992594856621217
13,4,1.0259431900703844
13,5,1.052626894478647
13,6,1.0793105988869096
13,7,1.1059943032951722
13,8,1.1326780077034349
13,9,1.1593617121116975
13,10,1.18604541651996
13,11,1.2127291209282227
13,12,1.2394128253364853
13,13,1.266096529744748
13,14,1.2927802341530106
13,15,1.3194639385612732
13,16,1.3461476429695358
13,17,1.3728313473777984
13,18,1.399515051786061
13,19,1.4261987561943235
13,20,1.452882460602586
13,21,1.4795661650108487
13,22,1.5062498694191113
13,23,1.532933573827374
13,24,1.5596172782356366
13,25,1.5863009826438992
13,26,1.6129846870521618
13,27,1.6396683914604244
13,28,1.666352095868687
13,29,1.6930358002769497
13,30,1.7197195046852123
13,31,1.746403209093475
13,32,1.7730869135017375
13,33,1.7997706179100001
13,34,1.8264543223182628
13,35,1.8531380267265254
13,36,1.879821731134788
13,37,1.9065054355430506
13,38,1.9331891399513133
13,39,1.9598728443595759
13,40,1.9865565487678385
13,41,2.013240253176101
13,42,2.0399239575843637
13,43,2.0666076619926264
13,44,2.093291366400889
13,45,2.1199750708091516
13,46,2.146658775217414
13,47,2.173342479625677
13,48,2.2000261840339395
13,49,2.226709888442202
13,50,2.226709888442202
14,1,0.9439052525838532
14,2,0.9705889569921158
14,3,0.9972726614003784
14,4,1.023956365808641
14,5,1.0506400702169036
14,6,1.0773237746251663
14,7,1.1040074790334289
14,8,1.1306911834416915
14,9,1.1573748878499541
14,10,1.1840585922582167
14,11,1.2107422966664794
14,12,1.237426001074742
14,13,1.2641097054830046
14,14,1.2907934098912672
14,15,1.3174771142995299
14,16,1.3441608187077925
14,17,1.370844523116055
14,18,1.3975282275243177
14,19,1.42421193193258
14,20,1.4508956363408427
14,21,1.4775793407491054
14,22,1.504263045157368
14,23,1.5309467495656306
14,24,1.5576304539738932
14,25,1.5843141583821558
14,26,1.6109978627904185
14,27,1.637681567198681
14,28,1.6643652716069437
14,29,1.6910489760152063
14,30,1.717732680423469
14,31,1.7444163848317316
14,32,1.7711000892399942
14,33,1.7977837936482568
14,34,1.8244674980565194
14,35,1.851151202464782
14,36,1.8778349068730447
14,37,1.9045186112813073
14,38,1.93120231568957
14,39,1.9578860200978325
14,40,1.9845697245060951
14,41,2.0112534289143578
14,42,2.0379371333226204
14,43,2.064620837730883
14,44,2.0913045421391456
14,45,2.1179882465474082
14,46,2.144671950955671
14,47,2.1713556553639335
14,48,2.198039359772196
14,49,2.2247230641804587
14,50,2.2247230641804587
15,1,0.9419184283221097
15,2,0.9686021327303723
15,3,0.9952858371386349
15,4,1.0219695415468975
15,5,1.04865324595516
15,6,1.0753369503634227
15,7,1.1020206547716853
15,8,1.128704359179948
15,9,1.1553880635882106
15,10,1.1820717679964732
15,11,1.2087554724047358
15,12,1.2354391768129984
15,13,1.262122881221261
15,14,1.2888065856295237
15,15,1.3154902900377863
15,16,1.342173994446049
15,17,1.3688576988543115
15,18,1.3955414032625741
15,19,1.4222251076708368
15,20,1.4489088120790994
15,21,1.475592516487362
15,22,1.5022762208956246
15,23,1.5289599253038872
15,24,1.5556436297121499
15,25,1.5823273341204125
15,26,1.609011038528675
15,27,1.6356947429369377
15,28,1.6623784473452003
15,29,1.689062151753463
15,30,1.7157458561617256
15,31,1.7424295605699882
15,32,1.7691132649782508
15,33,1.7957969693865135
15,34,1.822480673794776
15,35,1.8491643782030387
15,36,1.8758480826113013
15,37,1.902531787019564
15,38,1.9292154914278266
15,39,1.9558991958360892
15,40,1.9825829002443518
15,41,2.0092666046526144
15,42,2.035950309060877
15,43,2.0626340134691397
15,44,2.0893177178774023
15,45,2.116001422285665
15,46,2.1426851266939275
15,47,2.16936883110219
15,48,2.1960525355104528
15,49,2.2227362399187154
15,50,2.2227362399187154
16,1,0.9399316040603664
16,2,0.966615308468629
16,3,0.9932990128768916
16,4,1.019982717285154
16,5,1.0466664216934167
16,6,1.0733501261016793
16,7,1.100033830509942
16,8,1.1267175349182046
16,9,1.1534012393264672
16,10,1.1800849437347298
16,11,1.2067686481429925
16,12,1.233452352551255
16,13,1.2601360569595177
16,14,1.2868197613677803
16,15,1.313503465776043
16,16,1.3401871701843056
16,17,1.3668708745925682
16,18,1.3935545790008308
16,19,1.4202382834090934
16,20,1.446921987817356
16,21,1.4736056922256187
16,22,1.5002893966338813
16,23,1.526973101042144
16,24,1.5536568054504065
16,25,1.5803405098586691
16,26,1.6070242142669318
16,27,1.6337079186751944
16,28,1.660391623083457
16,29,1.6870753274917196
16,30,1.7137590318999822
16,31,1.7404427363082449
16,32,1.7671264407165075
16,33,1.79381014512477
16,34,1.8204938495330327
16,35,1.8471775539412953
16,36,1.873861258349558
16,37,1.9005449627578206
16,38,1.9272286671660832
16,39,1.9539123715743458
16,40,1.9805960759826085
16,41,2.007279780390871
16,42,2.0339634847991337
16,43,2.0606471892073963
16,44,2.087330893615659
16,45,2.1140145980239216
16,46,2.140698302432184
16,47,2.167382006840447
16,48,2.1940657112487094
16,49,2.220749415656972
16,50,2.220749415656972
17,1,0.937944779798623
17,2,0.9646284842068856
17,3,0.9913121886151482
17,4,1.0179958930234108
17,5,1.0446795974316734
17,6,1.071363301839936
17,7,1.0980470062481986
17,8,1.1247307106564612
17,9,1.1514144150647239
17,10,1.1780981194729865
17,11,1.204781823881249
17,12,1.2314655282895117
17,13,1.2581492326977743
17,14,1.284832937106037
17,15,1.3115166415142996
17,16,1.3382003459225622
17,17,1.3648840503308248
17,18,1.3915677547390874
17,19,1.41825145914735
17,20,1.4449351635556127
17,21,1.4716188679638753
17,22,1.498302572372138
17,23,1.5249862767804006
17,24,1.5516699811886632
17,25,1.5783536855969258
17,26,1.6050373900051884
17,27,1.631721094413451
17,28,1.6584047988217137
17,29,1.6850885032299763
17,30,1.711772207638239
17,31,1.7384559120465015
17,32,1.7651396164547641
17,33,1.7918233208630268
17,34,1.8185070252712894
17,35,1.845190729679552
17,36,1.8718744340878146
17,37,1.8985581384960772
17,38,1.9252418429043399
17,39,1.9519255473126025
17,40,1.978609251720865
17,41,2.0052929561291277
17,42,2.0319766605373903
17,43,2.058660364945653
17,44,2.0853440693539156
17,45,2.112027773762178
17,46,2.138711478170441
17,47,2.1653951825787034
17,48,2.192078886986966
17,49,2.2187625913952287
17,50,2.2187625913952287
18,1,0.9359579555368795
18,2,0.9626416599451422
18,3,0.9893253643534048
18,4,1.0160090687616674
18,5,1.04269277316993
18,6,1.0693764775781927
18,7,1.0960601819864553
18,8,1.122743886394718
18,9,1.1494275908029805
18,10,1.1761112952112431
18,11,1.2027949996195058
18,12,1.2294787040277684
18,13,1.256162408436031
18,14,1.2828461128442936
18,15,1.3095298172525562
18,16,1.3362135216608189
18,17,1.3628972260690815
18,18,1.389580930477344
18,19,1.4162646348856067
18,20,1.4429483392938693
18,21,1.469632043702132
18,22,1.4963157481103946
18,23,1.5229994525186572
18,24,1.5496831569269198
18,25,1.5763668613351824
18,26,1.603050565743445
18,27,1.6297342701517077
18,28,1.6564179745599703
